,fuelType_Clusters,tripsTaken_Clusters,dailyRate_Clusters,vehicleMake_Clusters,vehicleType_Clusters,vehicleAge_Clusters
486,0,0,1,3,0,3
487,0,0,1,1,0,3
488,0,1,1,1,0,4
489,3,0,1,2,4,0
490,0,0,1,0,0,0
491,0,0,1,3,0,1
492,3,0,1,4,4,3
493,0,3,1,1,0,0
494,0,0,1,1,0,4
495,3,3,1,0,4,4
496,0,0,1,4,0,3
497,3,3,1,4,4,3
498,0,0,0,3,0,0
499,2,0,1,0,0,4
500,0,0,1,2,2,4
501,0,0,3,2,1,0
502,0,0,1,2,0,1
503,0,0,3,3,0,0
504,0,0,1,2,0,4
505,0,0,1,1,0,0
506,0,1,1,2,0,1
507,0,0,3,2,1,3
508,0,0,1,2,3,3
509,0,0,3,3,0,0
510,0,0,1,1,0,4
511,0,2,1,4,1,0
512,0,0,1,1,0,1
513,4,0,3,3,3,0
514,0,0,3,2,0,1
515,3,0,1,2,4,3
516,0,3,1,0,0,0
517,3,2,1,1,0,1
518,0,1,1,1,0,4
519,0,1,1,0,0,0
520,0,3,3,0,0,3
521,1,0,3,1,0,4
522,0,0,1,1,1,3
523,1,3,3,1,0,3
524,0,0,3,2,1,0
525,0,0,1,1,0,3
526,1,0,3,1,4,3
527,1,0,0,1,0,3
528,4,0,1,1,0,0
529,0,3,3,4,1,3
530,0,0,1,1,1,3
531,0,3,1,4,1,0
532,0,0,3,2,0,3
533,0,3,1,0,0,0
534,0,0,0,2,1,0
535,0,0,1,4,0,0
536,1,3,3,1,0,3
537,0,0,3,3,0,4
538,0,3,1,4,1,3
539,0,0,1,3,0,0
540,0,0,1,3,1,3
541,2,3,1,1,0,0
542,1,0,1,1,0,3
543,4,0,1,1,0,4
544,0,0,0,4,1,3
545,0,0,1,2,0,3
546,4,0,1,1,0,4
547,0,3,1,0,0,0
548,0,0,3,2,0,0
549,0,2,1,0,0,0
550,0,3,3,2,0,0
551,0,0,3,1,1,0
552,0,0,4,3,0,3
553,0,2,1,2,0,0
554,0,0,1,1,1,4
555,0,0,1,0,0,0
556,3,2,1,0,2,1
557,0,0,1,4,0,4
558,0,0,1,0,2,1
559,0,0,1,0,0,4
560,0,3,1,2,0,1
561,0,3,1,2,0,0
562,0,3,1,1,0,0
563,0,0,1,0,1,4
564,0,0,1,3,0,3
565,3,3,1,1,1,1
566,0,3,1,3,0,4
567,0,2,1,3,0,1
568,0,1,1,1,0,1
569,3,1,1,3,0,1
570,0,1,1,1,0,1
571,0,3,3,4,1,0
572,0,3,1,1,0,1
573,1,0,3,1,0,3
574,0,0,3,3,0,3
575,1,0,3,1,0,4
576,3,0,1,1,4,4
577,0,3,1,0,0,4
578,0,0,3,2,0,3
579,1,0,3,1,0,3
580,0,3,3,4,1,3
581,0,3,3,4,1,0
582,0,3,1,4,0,1
583,0,3,3,4,0,4
584,0,0,3,0,0,3
585,1,0,1,2,0,0
586,2,3,1,0,0,3
587,0,0,1,1,1,0
588,1,0,0,1,4,3
589,0,0,3,2,0,0
590,0,0,1,2,1,4
591,0,0,1,1,0,4
592,0,0,3,4,1,0
593,0,3,1,3,0,0
594,2,3,1,1,0,0
595,0,0,3,3,0,0
596,0,0,1,3,0,0
597,4,0,0,3,3,3
598,4,0,1,2,1,1
599,0,3,1,0,0,4
600,0,0,1,2,0,0
601,3,3,1,4,1,0
602,0,3,1,0,0,0
603,0,0,1,2,0,1
604,0,0,1,1,0,4
605,0,3,1,4,0,0
606,0,3,1,3,0,4
607,0,0,1,0,0,1
608,0,3,1,3,0,4
609,0,0,3,3,1,0
610,0,0,3,2,0,4
611,3,0,1,4,4,1
612,0,3,1,4,1,1
613,0,0,3,4,0,3
614,0,0,3,3,0,4
615,1,2,3,1,1,0
616,1,3,3,1,0,3
617,1,2,3,1,0,3
618,0,3,3,3,1,4
619,1,0,0,1,0,3
620,0,0,1,1,0,0
621,1,0,0,1,0,0
622,0,0,3,3,0,3
623,0,0,1,2,0,1
624,0,0,3,2,0,0
625,3,0,3,2,1,3
626,0,0,3,3,1,3
627,0,0,1,3,0,3
628,0,0,1,0,0,1
629,2,0,3,4,0,0
630,0,3,1,0,0,1
631,0,3,1,1,2,4
632,0,2,1,1,3,4
633,3,2,1,0,2,3
634,0,0,1,3,0,4
635,2,3,1,1,0,3
636,2,1,1,1,0,4
637,3,0,1,4,4,1
638,0,2,1,0,0,0
639,0,2,3,1,1,3
640,3,3,1,3,4,1
641,0,0,1,3,0,0
642,0,0,1,0,2,4
643,1,0,3,1,0,4
644,1,2,3,1,0,0
645,0,3,3,4,3,3
646,0,0,1,0,0,0
647,0,0,4,2,0,0
648,0,0,1,2,0,4
649,0,0,1,1,1,3
650,1,2,3,1,0,3
651,0,0,3,3,0,0
652,1,3,3,1,0,4
653,0,0,1,0,0,4
654,0,0,1,0,0,4
655,0,0,0,2,0,0
656,0,0,3,2,1,4
657,0,3,3,2,0,1
658,0,0,3,3,0,4
659,0,0,1,1,1,0
660,0,0,0,4,0,0
661,0,3,1,4,0,4
662,2,0,1,0,0,4
663,0,3,1,2,0,3
664,0,2,1,3,0,3
665,0,0,3,2,1,0
666,0,0,3,3,1,3
667,3,0,1,2,3,1
668,0,0,3,0,3,0
669,0,0,1,0,2,3
670,0,0,1,2,0,3
671,0,0,1,4,0,3
672,4,0,0,2,0,0
673,0,0,1,0,1,4
674,0,1,1,2,0,3
675,0,0,0,3,0,0
676,0,0,3,2,1,0
677,0,0,1,0,0,4
678,0,2,3,0,1,0
679,0,0,1,0,0,4
680,3,0,1,0,4,4
681,0,2,3,4,1,0
682,0,3,1,2,0,3
683,3,0,1,0,4,0
684,0,0,0,3,0,3
685,0,0,1,2,0,3
686,0,3,1,1,1,4
687,0,2,1,2,0,1
688,0,2,1,0,0,4
689,0,0,1,4,0,4
690,0,3,1,2,0,3
691,0,3,1,2,0,3
692,0,0,1,2,0,4
693,0,3,1,1,0,4
694,0,3,1,0,0,4
695,0,0,1,2,0,1
696,2,0,1,4,0,4
697,2,3,1,4,1,1
698,3,3,1,0,4,4
699,0,0,1,4,1,3
700,0,2,1,1,1,0
701,0,3,1,3,0,4
702,0,2,1,3,1,1
703,0,0,1,0,1,0
704,0,0,1,2,1,1
705,0,0,0,3,0,0
706,0,2,1,2,1,1
707,2,3,1,1,0,4
708,0,2,1,1,0,0
709,0,0,1,4,0,0
710,0,0,1,0,0,0
711,0,0,1,2,0,1
712,0,2,1,1,0,4
713,0,0,1,1,1,0
714,3,0,1,3,4,1
715,0,0,1,0,1,1
716,0,3,1,0,1,1
717,0,0,1,0,1,0
718,0,0,1,4,0,0
719,0,0,1,4,0,0
720,0,1,1,4,1,0
721,0,3,1,3,0,0
722,0,3,1,2,0,4
723,0,0,1,0,0,0
724,0,0,1,3,0,4
725,0,3,1,4,1,3
726,0,0,1,0,0,0
727,0,0,1,3,0,1
728,1,0,3,1,0,3
729,1,0,0,1,0,3
730,2,3,1,4,4,1
731,0,0,1,3,3,0
732,3,0,1,2,2,1
733,0,0,0,3,0,4
734,1,0,0,1,1,3
735,1,2,1,1,0,3
736,0,0,3,4,1,4
737,0,0,1,0,0,0
738,0,0,1,2,0,1
739,1,2,3,1,0,3
740,0,0,3,4,1,0
741,0,0,1,2,1,0
742,0,0,1,3,0,4
743,0,0,0,3,0,1
744,0,0,1,3,1,0
745,0,0,1,4,1,0
746,0,0,1,2,0,1
747,0,0,3,1,0,0
748,0,0,1,0,0,0
749,0,0,3,3,0,3
750,0,0,1,3,0,0
751,0,0,1,3,1,4
752,3,0,3,3,4,3
753,0,0,1,1,0,0
754,0,0,4,3,0,0
755,0,0,3,2,0,0
756,0,0,3,2,0,3
757,3,0,0,4,4,0
758,0,0,1,2,1,0
759,0,0,1,2,0,4
760,0,3,1,0,0,4
761,0,0,1,0,0,3
762,0,3,1,1,0,1
763,1,0,3,1,0,3
764,0,0,1,0,1,4
765,3,0,3,0,1,3
766,0,0,1,4,1,1
767,0,0,3,0,3,0
768,0,3,1,0,0,4
769,0,0,1,1,2,1
770,0,0,1,0,3,1
771,0,0,1,2,1,4
772,0,3,0,2,0,1
773,0,0,1,1,3,3
774,0,0,1,1,0,1
775,3,0,3,1,1,0
776,0,0,3,2,0,1
777,0,3,3,2,1,1
778,0,3,3,2,1,4
779,0,3,3,2,1,1
780,0,3,1,4,1,1
781,0,0,1,2,1,1
782,0,0,1,2,0,1
783,0,2,1,0,0,1
784,3,3,1,2,1,1
785,0,3,1,0,1,4
786,0,0,1,4,0,1
787,0,0,1,0,0,4
788,0,1,1,0,1,1
789,0,0,1,4,0,0
790,0,2,1,2,1,1
791,0,1,1,4,1,1
